"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY 50","25,840.40","25,940.60","25,688.55","25,876.85","25,689.20","-","-187.65","-0.73","18,66,14,655","14,649.18","26,373.20","21,743.65","-0.32","9.15"
"ASIANPAINT","2,789.90","2,856.70","2,786.20","2,786.50","2,835.30","-","48.80","1.75","5,87,388","166.13","2,985.70","2,124.75","-4.84","21.54"
"ETERNAL","283.40","292.90","281.65","283.55","287.90","-","4.35","1.53","3,17,33,470","918.43","368.45","194.80","-0.60","-"
"HCLTECH","1,647.10","1,675.00","1,647.10","1,646.70","1,664.40","-","17.70","1.07","20,46,573","340.99","2,012.20","1,302.75","-2.48","-14.05"
"ONGC","232.29","238.25","232.00","231.42","233.88","-","2.46","1.06","69,75,442","163.98","273.50","205.00","-2.98","-12.17"
"BEL","417.00","424.55","417.00","415.65","418.65","-","3.00","0.72","1,35,42,626","570.52","436.00","240.25","7.57","44.83"
"JSWSTEEL","1,160.00","1,170.70","1,154.40","1,155.90","1,163.50","-","7.60","0.66","7,60,869","88.40","1,223.90","880.00","3.29","26.77"
"SBIN","996.00","1,008.00","994.00","998.00","1,002.70","-","4.70","0.47","49,50,548","496.49","1,024.00","680.00","4.35","28.15"
"TECHM","1,583.00","1,606.40","1,583.00","1,577.90","1,585.20","-","7.30","0.46","4,82,269","76.74","1,736.40","1,209.40","-0.87","-5.58"
"DRREDDY","1,207.00","1,214.70","1,203.60","1,206.90","1,210.60","-","3.70","0.31","7,09,850","85.90","1,405.90","1,020.00","-4.71","-10.70"
"TRENT","3,980.00","4,008.00","3,951.00","3,990.40","3,990.00","-","-0.40","-0.01","3,92,796","156.36","6,873.50","3,930.10","-2.45","-41.95"
"CIPLA","1,464.70","1,465.50","1,456.10","1,460.60","1,460.50","-","-0.10","-0.01","6,67,830","97.58","1,673.00","1,335.00","-2.47","-2.46"
"RELIANCE","1,465.00","1,479.90","1,465.00","1,470.60","1,470.10","-","-0.50","-0.03","48,20,155","709.36","1,611.80","1,114.85","-4.69","18.52"
"WIPRO","261.35","263.95","260.45","262.20","262.10","-","-0.10","-0.04","25,13,109","65.95","324.60","228.00","0.31","-10.83"
"POWERGRID","260.30","263.80","259.10","259.30","259.15","-","-0.15","-0.06","80,70,987","211.12","322.00","247.30","-2.22","-15.00"
"INFY","1,610.00","1,631.30","1,610.00","1,613.30","1,612.10","-","-1.20","-0.07","36,29,843","588.03","1,982.80","1,307.00","0.16","-16.45"
"TCS","3,191.00","3,229.70","3,191.00","3,203.90","3,201.10","-","-2.80","-0.09","9,22,985","296.46","4,322.95","2,866.60","-1.01","-20.47"
"EICHERMOT","7,582.00","7,613.50","7,519.50","7,551.00","7,524.50","-","-26.50","-0.35","3,43,336","260.21","7,613.50","4,646.00","5.73","45.85"
"LT","4,029.00","4,094.00","4,008.00","4,028.40","4,013.90","-","-14.50","-0.36","11,15,011","450.83","4,195.00","2,965.30","0.79","10.57"
"TATASTEEL","179.05","181.50","178.80","180.12","179.30","-","-0.82","-0.46","1,11,29,355","200.36","187.85","122.62","10.19","35.04"
"SBILIFE","2,093.80","2,093.90","2,071.30","2,082.90","2,073.10","-","-9.80","-0.47","2,50,712","52.18","2,109.60","1,372.55","3.08","40.95"
"GRASIM","2,799.80","2,807.90","2,772.20","2,792.00","2,777.10","-","-14.90","-0.53","2,25,584","62.97","2,977.80","2,276.95","1.74","13.16"
"HINDUNILVR","2,382.00","2,386.00","2,366.50","2,386.70","2,373.40","-","-13.30","-0.56","6,42,174","152.62","2,750.00","2,136.00","3.14","-0.17"
"TATACONSUM","1,197.30","1,207.80","1,188.80","1,197.40","1,189.50","-","-7.90","-0.66","2,33,719","28.01","1,220.90","926.05","4.50","25.38"
"COALINDIA","423.70","428.35","421.10","425.25","422.30","-","-2.95","-0.69","37,57,822","159.51","436.70","349.25","12.69","11.97"
"BAJAJFINSV","2,008.90","2,014.20","1,986.50","2,008.90","1,995.00","-","-13.90","-0.69","4,56,109","91.07","2,195.00","1,617.00","-2.44","19.38"
"KOTAKBANK","2,133.00","2,133.00","2,116.20","2,133.00","2,117.40","-","-15.60","-0.73","6,08,589","129.27","2,301.90","1,723.75","0.07","20.37"
"HINDALCO","902.00","908.45","894.00","903.95","897.30","-","-6.65","-0.74","24,76,875","222.96","970.80","546.45","10.31","54.65"
"JIOFIN","292.00","294.60","289.75","293.55","291.10","-","-2.45","-0.83","48,00,645","140.37","338.60","198.65","-1.23","-1.87"
"NESTLEIND","1,306.90","1,310.80","1,290.10","1,306.90","1,295.60","-","-11.30","-0.86","3,37,853","43.93","1,332.70","1,055.00","7.58","-40.94"
"TITAN","4,231.00","4,279.00","4,210.00","4,249.00","4,211.90","-","-37.10","-0.87","3,20,485","135.87","4,312.10","2,925.00","12.80","21.22"
